"","species","speed","category","size"
"476","takin",0.0339267700813212,"LS","large"
"477","takin",0,"LS","large"
"478","takin",0.257147931475229,"LS","large"
"479","takin",0.51510331005111,"LS","large"
"480","takin",0.0733939832400763,"LS","large"
"481","takin",0.00979521785529053,"LS","large"
"482","takin",0.03007407604929,"LS","large"
"483","takin",0.00637415307157873,"LS","large"
"484","takin",0.0255199343376216,"LS","large"
"485","takin",0.305025284654639,"LS","large"
"486","takin",0.24263363104346,"LS","large"
"487","takin",0.163262237491346,"LS","large"
"488","takin",0.013932825873673,"LS","large"
"489","takin",0.0268131415743992,"LS","large"
"490","takin",0.132055389841922,"LS","large"
"491","takin",0.035388273619266,"LS","large"
"492","takin",0.0406407225307524,"LS","large"
"493","takin",0.118054691059129,"LS","large"
"494","takin",0.023404690512731,"LS","large"
"495","takin",0.128072083354885,"LS","large"
"496","takin",0.00654477327692829,"LS","large"
"497","takin",0.123019995351864,"LS","large"
"498","takin",0,"LS","large"
"499","takin",0.0984649970633846,"LS","large"
"500","takin",1.46043711442093e-05,"LS","large"
"501","takin",0.0889889589639587,"LS","large"
"502","takin",1.56932402634408e-05,"LS","large"
"503","takin",0.0936291347552438,"LS","large"
"504","takin",0.0948548383750456,"LS","large"
"505","takin",0.201245443773141,"LS","large"
"506","takin",0,"LS","large"
"507","takin",0.0854340730858638,"LS","large"
"508","takin",0.000131836134819332,"LS","large"
"509","takin",0.00027521645181644,"LS","large"
"510","takin",5.79980848052177e-06,"LS","large"
"511","takin",3.94614165570964e-06,"LS","large"
"512","takin",6.31366924381214e-06,"LS","large"
"513","takin",4.02306406551986e-06,"LS","large"
"514","takin",3.71458603487814e-06,"LS","large"
"515","takin",4.68832373057851e-06,"LS","large"
"516","takin",3.49984654896123e-06,"LS","large"
"517","takin",3.45969602191072e-06,"LS","large"
"518","takin",3.67130157118533e-06,"LS","large"
"519","takin",2.07614302076067e-06,"LS","large"
"520","takin",3.97304253968556e-06,"LS","large"
"521","takin",1.02125611174194e-05,"LS","large"
"522","takin",6.12008802696627e-06,"LS","large"
"523","takin",1.89324909172493e-06,"LS","large"
"524","takin",6.15515740246476e-06,"LS","large"
"525","takin",2.83336629982546e-06,"LS","large"
"526","takin",3.14700673537726e-06,"LS","large"
"527","takin",1.06867008106794e-06,"LS","large"
"528","takin",3.7716194556184e-06,"LS","large"
"529","takin",3.47241288105842e-06,"LS","large"
"530","takin",4.78380317201715e-06,"LS","large"
"531","takin",3.48486771300471e-06,"LS","large"
"532","takin",2.29896701935207e-06,"LS","large"
"533","takin",1.43848994640183e-06,"LS","large"
"534","takin",2.59312885329005e-06,"LS","large"
"535","takin",3.86663980080865e-06,"LS","large"
"536","takin",2.64358894156441e-06,"LS","large"
"537","takin",0.157062482185351,"LS","large"
"538","takin",3.10625316134533e-06,"LS","large"
"539","takin",2.67896334710888e-06,"LS","large"
"540","takin",1.22762958408678e-06,"LS","large"
"541","takin",2.31207931191215e-06,"LS","large"
"542","takin",3.0054469341141e-06,"LS","large"
"543","takin",2.5965481405417e-06,"LS","large"
"544","takin",3.25018814543097e-06,"LS","large"
"545","takin",2.38778116523257e-06,"LS","large"
"546","takin",2.0476327815842e-06,"LS","large"
"547","takin",2.12922981092049e-06,"LS","large"
"548","takin",3.22217507195548e-06,"LS","large"
"549","takin",4.45517964559056e-06,"LS","large"
"550","takin",3.49384942620619e-06,"LS","large"
"551","takin",1.59838209313696e-06,"LS","large"
"552","takin young",3.55939817800505e-06,"LS","large"
"553","takin",7.28238513442468e-06,"LS","large"
"554","takin",4.66113654022523e-06,"LS","large"
"555","takin",3.72385443344923e-06,"LS","large"
"556","takin",3.28035391661688e-06,"LS","large"
"557","takin young",3.81521304376059e-06,"LS","large"
"558","takin",4.0150753042135e-06,"LS","large"
"559","takin",3.63547530639483e-06,"LS","large"
"560","takin",3.6612147213264e-06,"LS","large"
"561","takin",1.89711501297951e-06,"LS","large"
"562","takin",2.1453841359287e-06,"LS","large"
"563","takin",1.36457861790644e-06,"LS","large"
"564","takin",3.08037890442517e-06,"LS","large"
"565","takin",8.98429002425001e-07,"LS","large"
"566","takin",1.55605956770874e-06,"LS","large"
"567","takin",5.3051951282449e-06,"LS","large"
"568","takin",2.39372193793742e-06,"LS","large"
"569","takin",9.37950246594776e-07,"LS","large"
"570","takin",2.38182682891159e-06,"LS","large"
"571","takin young",4.33198014101618e-06,"LS","large"
"572","takin young",2.76529319753693e-06,"LS","large"
"573","takin",2.71321144722758e-06,"LS","large"
"574","takin young",3.9410178275616e-06,"LS","large"
"575","takin",3.31094635395494e-06,"LS","large"
"576","takin",4.44982639329518e-06,"LS","large"
"577","takin",8.63182134607734e-06,"LS","large"
"578","takin",3.32597750718444e-06,"LS","large"
"579","takin",4.00964043151359e-06,"LS","large"
"580","takin",3.45890281207283e-06,"LS","large"
"581","takin",5.14844586775819e-06,"LS","large"
"582","takin",3.82052622005942e-06,"LS","large"
"583","takin",3.22215979484074e-06,"LS","large"
"584","takin",2.93577423865602e-06,"LS","large"
"585","takin",3.82956400882827e-06,"LS","large"
"586","takin",3.96902828554626e-06,"LS","large"
"587","takin",8.6004972331769e-07,"LS","large"
"588","takin",5.35441426534661e-06,"LS","large"
"589","takin",4.04569264076649e-06,"LS","large"
"590","takin",2.81130328399649e-06,"LS","large"
"591","takin",3.90373850145503e-06,"LS","large"
"592","takin",3.63240646130372e-06,"LS","large"
"593","takin",3.10312873657284e-06,"LS","large"
"594","takin",2.59816487241994e-06,"LS","large"
"595","takin",4.25712619148783e-06,"LS","large"
"596","takin",8.41465248685088e-07,"LS","large"
"597","takin",3.57093522685155e-06,"LS","large"
"598","takin",2.68431615134374e-06,"LS","large"
"599","takin",2.64694053284494e-06,"LS","large"
"600","takin",3.44460668161738e-06,"LS","large"
"601","takin",1.5142410753535e-06,"LS","large"
"602","takin",2.20710057651865e-06,"LS","large"
"603","takin",2.3697955920406e-06,"LS","large"
"604","takin young",2.23376801323783e-06,"LS","large"
"605","takin",5.07584810354287e-06,"LS","large"
"606","takin",1.72160332903086e-06,"LS","large"
"607","takin",5.69476580608732e-06,"LS","large"
"608","takin",3.47625899568834e-06,"LS","large"
