markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
4129,25403,2918,1186,232,Hedgehog,Loc_52,2016-10-20 04:23:58,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161020-04-23-58-IMG_0081.jpg,RP8,Loc_52_RP8,1.69669879644034,0.0622826738166486,465.828384746939,0.669811900720685,4,0.167452975180171,7
4163,25443,2946,795,545,Fox,Loc_52,2016-10-20 22:28:35,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161020-22-28-35-IMG_0513.jpg,RP8,Loc_52_RP8,2.74847891626237,-0.0880415574321761,1149.37821968868,1.24353434143938,2,0.621767170719691,3
4167,25453,2948,1845,313,Hedgehog,Loc_52,2016-10-21 18:51:57,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161021-18-51-57-IMG_0733.jpg,RP8,Loc_52_RP8,2.00710121731606,0.315642439527583,275.682215958748,0.324456887142165,6,0.0540761478570275,10
4182,25503,2954,578,705,Fox,Loc_52,2016-10-22 02:10:01,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161022-02-10-01-IMG_0783.jpg,RP8,Loc_52_RP8,3.30166528753414,-0.171469583470526,503.498197718885,0.787035222580946,3,0.262345074193649,6
4189,25513,2956,1797,300,Hedgehog,Loc_52,2016-10-22 03:26:36,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161022-03-26-36-IMG_0793.jpg,RP8,Loc_52_RP8,1.94838229031434,0.29718831395228,55.1456933283079,0.0443927959603504,6,0.00739879932672506,10
4201,25533,2959,362,79,Hedgehog,Loc_52,2016-10-22 05:22:56,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161022-05-22-56-IMG_0813.jpg,RP8,Loc_52_RP8,1.41386846339162,-0.254513148559391,342.813003109592,0.328933563391835,2,0.164466781695918,5
4207,25543,2961,96,544,Fox,Loc_52,2016-10-22 05:31:05,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161022-05-31-05-IMG_0823.jpg,RP8,Loc_52_RP8,2.41911019506877,-0.35677976112253,1182.1843628052,1.90531492878084,2,0.952657464390419,5
4213,25553,2963,1666,580,Fox,Loc_52,2016-10-22 20:04:25,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161022-20-04-25-IMG_1283.jpg,RP8,Loc_52_RP8,3.45899252348968,0.246823929569682,1444.4879639208,1.86605625735501,2,0.933028128677506,5
4220,25573,2966,55,220,Hedgehog,Loc_52,2016-10-23 00:36:30,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161023-00-36-30-IMG_1303.jpg,RP8,Loc_52_RP8,1.69857880835472,-0.372542660051435,1206.97453227987,1.23833930396183,13,0.0952568695355254,20
4244,25614,2971,957,729,Fox,Loc_52,2016-10-23 21:22:16,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos2)/Loc_52-20161023-21-22-16-IMG_1694.jpg,RP8,Loc_52_RP8,3.81724376036248,-0.0257588836155275,426.150317661723,0.692682994865518,4,0.17317074871638,7
