"species" "distance" "intervals" "avgduration"
"518" "peccary" 1.8 4 0.777777777777778
"519" "agouti" 0.39 3 0.777777777777778
"520" "paca" 0.48 4 0.555555555555556
"521" "agouti" 0.55 4 2.44444444444444
"522" "agouti" 0.56 4 2.44444444444444
"523" "tamandua" 0.8 4 0.777777777777778
"524" "coati" 0.85 4 2.11111111111111
"525" "agouti" 0.85 3 0.444444444444444
"526" "agouti" 1.08 3 0.555555555555556
"527" "agouti" 1.08 4 1.55555555555556
"528" "paca" 1.14 4 1.88888888888889
"529" "coati" 1.25 4 2.11111111111111
"530" "agouti" 1.33 4 1.66666666666667
"531" "coati" 1.63 4 0.666666666666667
"532" "coati" 2 3 0.777777777777778
"533" "agouti" 0.61 3 0.777777777777778
"534" "agouti" 0.98 4 2.55555555555556
"535" "ocelot" 0.6 4 0.555555555555556
"536" "agouti" 0.63 4 1.77777777777778
"537" "agouti" 1.02 4 0.888888888888889
"538" "agouti" 0.43 4 1.33333333333333
"539" "coati" 0.48 4 1.88888888888889
"540" "agouti" 0.51 3 0.777777777777778
"541" "peccary" 0.76 4 2.33333333333333
"542" "paca" 0.78 4 1.66666666666667
"543" "peccary" 3.1 3 0.444444444444444
"544" "agouti" 1.2 3 0.777777777777778
"545" "peccary" 1.9 4 0.555555555555556
"546" "agouti" 2.08 4 0.888888888888889
"547" "ocelot" 3.48 4 1.33333333333333
"548" "opossum" 0.3 3 0.555555555555556
"549" "agouti" 0.58 4 2
"550" "agouti" 0.6 2 0.555555555555556
"551" "tamandua" 1.2 4 0.555555555555556
"552" "coati" 0.52 3 0.777777777777778
"553" "agouti" 0.65 4 0.555555555555556
"554" "rat" 0.91 4 1.55555555555556
"555" "peccary" 1.8 4 0.555555555555556
"556" "squirrel" 0.22 4 0.666666666666667
"557" "agouti" 0.67 4 0.555555555555556
"558" "agouti" 0.73 4 0.555555555555556
"559" "coati" 0.8 3 0.777777777777778
"560" "rat" 0.92 4 1.44444444444444
"561" "agouti" 0.95 3 0.555555555555556
"562" "agouti" 0.98 3 0.888888888888889
"563" "agouti" 1.35 4 1.88888888888889
"564" "agouti" 1.8 4 0.444444444444444
"565" "agouti" 1.97 4 0.666666666666667
