"","X.2","X.1","X","species","speed","category","size","Body_mass_g","distance","avgduration"
"643",1369,1369,1369,"agouti",0.6975,"SF","small",2309.12,2.17,0.777777777777778
"644",1370,1370,1370,"opossum",0.2088,"LF","large",1134.75,0.58,0.555555555555556
"645",1371,1371,1371,"agouti",0.482142857142857,"SF","small",2309.12,1.5,0.777777777777778
"646",1372,1372,1372,"agouti",0.0702000000000001,"SF","small",2309.12,0.78,2.22222222222222
"647",1373,1373,1373,"agouti",0.234,"SF","small",2309.12,0.91,0.777777777777778
"648",1374,1374,1374,"agouti",0.198,"SF","small",2309.12,0.44,0.555555555555556
"649",1375,1375,1375,"agouti",0.187714285714286,"SF","small",2309.12,0.73,0.777777777777778
"650",1376,1376,1376,"paca",0.2592,"LS","large",8172.55,0.72,0.555555555555556
"651",1377,1377,1377,"paca",0.405,"LS","large",8172.55,0.9,0.555555555555556
"652",1378,1378,1378,"paca",0.742500000000001,"LS","large",8172.55,1.32,0.444444444444444
"653",1379,1379,1379,"agouti",0.1692,"SF","small",2309.12,0.47,0.555555555555556
"654",1380,1380,1380,"agouti",0.0755999999999998,"SF","small",2309.12,0.63,1.66666666666667
"655",1381,1381,1381,"squirrel",0.225,"SF","small",545.4,0.7,0.777777777777778
"656",1382,1382,1382,"armadillo",0.630000000000001,"SF","small",3949.01,0.84,0.444444444444444
"657",1383,1383,1383,"paca",0.324,"LS","large",8172.55,0.9,0.555555555555556
"658",1384,1384,1384,"agouti",0.171,"SF","small",2309.12,0.38,0.555555555555556
"659",1385,1385,1385,"armadillo",0.36,"SF","small",3949.01,0.8,0.444444444444444
"660",1386,1386,1386,"agouti",0.0600000000000002,"SF","small",2309.12,0.4,1.33333333333333
"661",1387,1387,1387,"squirrel",0.0687272727272728,"SF","small",545.4,0.42,1.22222222222222
"662",1388,1388,1388,"squirrel",0.0687272727272728,"SF","small",545.4,0.42,1.22222222222222
"663",1389,1389,1389,"mouse",0.2925,"SF","small",19.3,0.65,0.444444444444444
"664",1390,1390,1390,"paca",0.195,"LS","large",8172.55,0.65,0.666666666666667
"665",1391,1391,1391,"squirrel",0.0634285714285715,"SF","small",545.4,0.74,2.33333333333333
"666",1392,1392,1392,"squirrel",0.244285714285714,"SF","small",545.4,0.95,0.777777777777778
"667",1393,1393,1393,"agouti",0.1089,"SF","small",2309.12,1.21,2.22222222222222
"668",1394,1394,1394,"opossum",1.125,"LF","large",1134.75,2.5,0.555555555555556
"669",1395,1395,1395,"agouti",0.286875,"SF","small",2309.12,0.51,0.444444444444444
"670",1396,1396,1396,"agouti",0.1476,"SF","small",2309.12,1.64,2.22222222222222
"671",1397,1397,1397,"agouti",0.318461538461539,"SF","small",2309.12,2.3,1.44444444444444
"672",1398,1398,1398,"paca",0.288,"LS","large",8172.55,0.64,0.555555555555556
"673",1399,1399,1399,"coati",0.17723076923077,"SF","small",3775.5,1.28,1.44444444444444
"674",1400,1400,1400,"rat",0.36,"SF","small",282.17,0.48,0.444444444444444
"675",1401,1401,1401,"agouti",0.102461538461539,"SF","small",2309.12,0.74,1.44444444444444
"676",1402,1402,1402,"brocket",0.0651428571428572,"LF","large",20546.86,0.76,2.33333333333333
"677",1403,1403,1403,"agouti",0.0702857142857144,"SF","small",2309.12,0.82,2.33333333333333
"678",1404,1404,1404,"agouti",0.278181818181819,"SF","small",2309.12,1.7,1.22222222222222
"679",1405,1405,1405,"armadillo",0.156,"SF","small",3949.01,1.3,1.66666666666667
"680",1406,1406,1406,"agouti",0.0611999999999999,"SF","small",2309.12,0.51,1.66666666666667
"681",1407,1407,1407,"paca",0.405,"LS","large",8172.55,0.72,0.444444444444444
"682",1408,1408,1408,"ocelot",0.514285714285714,"LF","large",11880,2,0.777777777777778
"683",1409,1409,1409,"agouti",0.9375,"SF","small",2309.12,2.5,0.666666666666667
"684",1410,1410,1410,"coati",0.201,"SF","small",3775.5,0.67,0.666666666666667
"685",1411,1411,1411,"agouti",0.152,"SF","small",2309.12,0.76,1
"686",1412,1412,1412,"agouti",0.345,"SF","small",2309.12,1.15,0.666666666666667
"687",1413,1413,1413,"mouse",0.347999999999999,"SF","small",19.3,2.9,1.66666666666667
"688",1414,1414,1414,"tamandua",0.2175,"LS","large",4800,0.58,0.666666666666667
"689",1415,1415,1415,"rat",0.27,"SF","small",282.17,0.75,0.555555555555556
"690",1416,1416,1416,"squirrel",0.3,"SF","small",545.4,1,0.666666666666667
"691",1417,1417,1417,"squirrel",0.0621000000000001,"SF","small",545.4,0.69,2.22222222222222
"692",1418,1418,1418,"agouti",0.218571428571428,"SF","small",2309.12,0.85,0.777777777777778
"693",1419,1419,1419,"mouse",0.0474545454545455,"SF","small",19.3,0.29,1.22222222222222
"694",1420,1420,1420,"ocelot",0.1284,"LF","large",11880,1.07,1.66666666666667
"695",1421,1421,1421,"opossum",0.618750000000001,"LF","large",1134.75,1.1,0.444444444444444
"696",1422,1422,1422,"agouti",1.1625,"SF","small",2309.12,3.1,0.666666666666667
"697",1423,1423,1423,"agouti",0.289285714285714,"SF","small",2309.12,0.9,0.777777777777778
"698",1424,1424,1424,"agouti",0.363214285714286,"SF","small",2309.12,1.13,0.777777777777778
"699",1425,1425,1425,"agouti",0.2556,"SF","small",2309.12,0.71,0.555555555555556
"700",1426,1426,1426,"agouti",0.36,"SF","small",2309.12,1.4,0.777777777777778
"701",1427,1427,1427,"agouti",0.497571428571427,"SF","small",2309.12,3.87,1.55555555555556
"702",1428,1428,1428,"agouti",0.203142857142857,"SF","small",2309.12,0.79,0.777777777777778
"703",1429,1429,1429,"agouti",0.3,"SF","small",2309.12,0.8,0.666666666666667
"704",1430,1430,1430,"brocket",0.125217391304348,"LF","large",20546.86,1.6,2.55555555555556
"705",1431,1431,1431,"peccary",0.282375,"LS","large",21133.69,2.51,1.77777777777778
"706",1432,1432,1432,"armadillo",1.0404,"SF","small",3949.01,2.89,0.555555555555556
"707",1433,1433,1433,"rat",0.365625,"SF","small",282.17,0.65,0.444444444444444
"708",1434,1434,1434,"agouti",0.0756000000000001,"SF","small",2309.12,0.84,2.22222222222222
"709",1435,1435,1435,"agouti",0.0707142857142855,"SF","small",2309.12,0.55,1.55555555555556
"710",1436,1436,1436,"peccary",0.380571428571428,"LS","large",21133.69,1.48,0.777777777777778
"711",1437,1437,1437,"agouti",0.216,"SF","small",2309.12,0.48,0.555555555555556
"712",1438,1438,1438,"paca",0.144,"LS","large",8172.55,0.4,0.555555555555556
"713",1439,1439,1439,"rat",0.216,"SF","small",282.17,0.6,0.555555555555556
"714",1440,1440,1440,"agouti",0.2025,"SF","small",2309.12,0.9,0.888888888888889
"715",1441,1441,1441,"tamandua",0.324,"LS","large",4800,0.9,0.555555555555556
"716",1442,1442,1442,"agouti",0.214285714285714,"SF","small",2309.12,1,0.777777777777778
"717",1443,1443,1443,"agouti",0.214285714285714,"SF","small",2309.12,1,0.777777777777778
"718",1444,1444,1444,"agouti",0.214285714285714,"SF","small",2309.12,1,0.777777777777778
"719",1445,1445,1445,"rat",0.275,"SF","small",282.17,1.1,0.666666666666667
"720",1446,1446,1446,"agouti",0.235714285714286,"SF","small",2309.12,1.1,0.777777777777778
"721",1447,1447,1447,"coati",0.225,"SF","small",3775.5,1.2,0.888888888888889
"722",1448,1448,1448,"tamandua",0.257142857142857,"LS","large",4800,1.2,0.777777777777778
"723",1449,1449,1449,"agouti",0.278571428571429,"SF","small",2309.12,1.3,0.777777777777778
"724",1450,1450,1450,"rat",0.468,"SF","small",282.17,1.3,0.555555555555556
"725",1451,1451,1451,"agouti",0.321428571428571,"SF","small",2309.12,1.5,0.777777777777778
"726",1452,1452,1452,"coati",0.36,"SF","small",3775.5,1.6,0.888888888888889
