"","species","angle","dist","Body_mass_g","angles_rad"
"573","agouti",-3,1.38,2309.12,0.0523598775598299
"574","coati",-3,1.32,3775.5,0.0523598775598299
"575","agouti",-3,2.81,2309.12,0.0523598775598299
"576","peccary",-3,1.55,21133.69,0.0523598775598299
"577","paca",-4,1.58,8172.55,0.0698131700797732
"578","peccary",-4,0.94,21133.69,0.0698131700797732
"579","agouti",-5,3.3,2309.12,0.0872664625997165
"580","peccary",-5,2.9,21133.69,0.0872664625997165
"581","agouti",-5,7.2,2309.12,0.0872664625997165
"582","ocelot",-5,3.35,11880,0.0872664625997165
"583","opossum",-6,1.6,1134.75,0.10471975511966
"584","agouti",-6,3.25,2309.12,0.10471975511966
"585","agouti",-6,1.8,2309.12,0.10471975511966
"586","tamandua",-6,1.15,4800,0.10471975511966
"587","coati",-7,2.36,3775.5,0.122173047639603
"588","agouti",-7,2.68,2309.12,0.122173047639603
"589","rat",-7,1.24,282.17,0.122173047639603
"590","peccary",-7,3.08,21133.69,0.122173047639603
"591","squirrel",-8,3.05,545.4,0.139626340159546
"592","agouti",-8,0.97,2309.12,0.139626340159546
"593","agouti",-8,1.24,2309.12,0.139626340159546
"594","coati",-8,1.7,3775.5,0.139626340159546
"595","rat",-8,1.89,282.17,0.139626340159546
"596","agouti",-8,2.37,2309.12,0.139626340159546
"597","agouti",-8,3.97,2309.12,0.139626340159546
"598","agouti",-8,2.55,2309.12,0.139626340159546
"599","agouti",-8,4.6,2309.12,0.139626340159546
"600","agouti",-8,4.26,2309.12,0.139626340159546
"601","rat",-9,2.75,282.17,0.15707963267949
"602","rat",-10,2.5,282.17,0.174532925199433
"603","agouti",-10,3.35,2309.12,0.174532925199433
"604","rat",-12,2.7,282.17,0.20943951023932
"605","rat",-13,1.23,282.17,0.226892802759263
"606","opossum",-14,3.6,1134.75,0.244346095279206
"607","agouti",-14,3.1,2309.12,0.244346095279206
"608","agouti",-16,2.22,2309.12,0.279252680319093
"609","brocket",-16,6.41,20546.86,0.279252680319093
"610","squirrel",-17,1.37,545.4,0.296705972839036
"611","agouti",-17,1.46,2309.12,0.296705972839036
"612","ocelot",-17,0.61,11880,0.296705972839036
"613","paca",-18,1.21,8172.55,0.314159265358979
"614","ocelot",-18,2.46,11880,0.314159265358979
"615","agouti",-19,1.72,2309.12,0.331612557878923
"616","agouti",-21,1.54,2309.12,0.366519142918809
"617","rat",-22,1.63,282.17,0.383972435438752
"618","peccary",-22,4.37,21133.69,0.383972435438752
"619","peccary",-23,1.83,21133.69,0.401425727958696
"620","agouti",-24,1.83,2309.12,0.418879020478639
"621","agouti",-25,2.67,2309.12,0.436332312998582
"622","mouse",-26,1.04,19.3,0.453785605518526
"623","agouti",-27,2.29,2309.12,0.471238898038469
"624","brocket",-27,1.86,20546.86,0.471238898038469
"625","agouti",-31,0.92,2309.12,0.541052068118242
"626","paca",-32,2.32,8172.55,0.558505360638185
"627","agouti",-32,1.58,2309.12,0.558505360638185
"653","peccary",39,2.38,21133.69,0.680678408277788
"654","paca",38,2.28,8172.55,0.663225115757845
"655","peccary",34,2.4,21133.69,0.593411945678072
"656","ocelot",30,1.75,11880,0.523598775598299
"657","agouti",29,1.24,2309.12,0.506145483078356
"658","brocket",27,1.95,20546.86,0.471238898038469
"659","agouti",27,0.81,2309.12,0.471238898038469
"660","tamandua",24,1.85,4800,0.418879020478639
"661","agouti",21,0.64,2309.12,0.366519142918809
"662","brocket",21,1.46,20546.86,0.366519142918809
"663","paca",20,1.18,8172.55,0.349065850398866
"664","agouti",20,1.23,2309.12,0.349065850398866
"665","peccary",18,1.81,21133.69,0.314159265358979
"666","paca",14,1.46,8172.55,0.244346095279206
"667","agouti",13,1.43,2309.12,0.226892802759263
"668","agouti",13,2.38,2309.12,0.226892802759263
"669","agouti",12,1.94,2309.12,0.20943951023932
"670","paca",12,1.43,8172.55,0.20943951023932
"671","agouti",12,0.85,2309.12,0.20943951023932
"672","peccary",12,3.1,21133.69,0.20943951023932
"673","agouti",12,3.78,2309.12,0.20943951023932
"674","armadillo",11,2.3,3949.01,0.191986217719376
"675","rat",10,1.38,282.17,0.174532925199433
"676","agouti",10,1.84,2309.12,0.174532925199433
"677","agouti",10,1.4,2309.12,0.174532925199433
"678","peccary",10,3.91,21133.69,0.174532925199433
"679","agouti",10,3.41,2309.12,0.174532925199433
"680","opossum",8,1.1,1134.75,0.139626340159546
"681","agouti",8,2.3,2309.12,0.139626340159546
"682","agouti",6,2.3,2309.12,0.10471975511966
"683","agouti",6,1.1,2309.12,0.10471975511966
"684","agouti",5,4.34,2309.12,0.0872664625997165
"685","agouti",5,1.45,2309.12,0.0872664625997165
"686","paca",4,1.78,8172.55,0.0698131700797732
"687","paca",4,4,8172.55,0.0698131700797732
"688","paca",4,3.12,8172.55,0.0698131700797732
"689","agouti",3,1.08,2309.12,0.0523598775598299
"690","agouti",2,1.37,2309.12,0.0349065850398866
"691","squirrel",2,2.75,545.4,0.0349065850398866
"692","armadillo",2,1.31,3949.01,0.0349065850398866
"693","paca",2,3.1,8172.55,0.0349065850398866
"694","agouti",1,1.4,2309.12,0.0174532925199433
"695","armadillo",1,1.2,3949.01,0.0174532925199433
"696","agouti",0,2.32,2309.12,0
"697","squirrel",0,1.21,545.4,0
"698","squirrel",0,1.21,545.4,0
"699","mouse",0,1.34,19.3,0
"700","paca",0,1.12,8172.55,0
"701","squirrel",0,1.33,545.4,0
"702","squirrel",0,3.18,545.4,0
"703","agouti",0,1.39,2309.12,0
"704","opossum",0,3.4,1134.75,0
"705","agouti",-1,2.38,2309.12,0.0174532925199433
"706","agouti",-1,4.36,2309.12,0.0174532925199433
"707","agouti",-1,2.8,2309.12,0.0174532925199433
"708","paca",-3,2.14,8172.55,0.0523598775598299
"709","coati",-3,4.85,3775.5,0.0523598775598299
"710","rat",-4,1.32,282.17,0.0698131700797732
"711","agouti",-4,1.63,2309.12,0.0698131700797732
"712","brocket",-4,2.2,20546.86,0.0698131700797732
"713","agouti",-4,1.95,2309.12,0.0698131700797732
"714","agouti",-5,4.31,2309.12,0.0872664625997165
"715","armadillo",-6,3.54,3949.01,0.10471975511966
"716","agouti",-7,1.62,2309.12,0.122173047639603
"717","paca",-7,1.98,8172.55,0.122173047639603
"718","ocelot",-7,2.5,11880,0.122173047639603
"719","agouti",-7,2.94,2309.12,0.122173047639603
"720","coati",-8,1.46,3775.5,0.139626340159546
"721","agouti",-8,1.62,2309.12,0.139626340159546
"722","agouti",-8,2.25,2309.12,0.139626340159546
"723","mouse",-8,0.87,19.3,0.139626340159546
"724","tamandua",-9,0.95,4800,0.15707963267949
"725","rat",-10,1.62,282.17,0.174532925199433
"726","squirrel",-10,1.54,545.4,0.174532925199433
"727","squirrel",-11,2.37,545.4,0.191986217719376
"728","agouti",-11,1.3,2309.12,0.191986217719376
"729","mouse",-12,2.67,19.3,0.20943951023932
"730","ocelot",-12,1.42,11880,0.20943951023932
"731","opossum",-12,2.5,1134.75,0.20943951023932
"733","agouti",-14,3.09,2309.12,0.244346095279206
"734","agouti",-15,1.8,2309.12,0.261799387799149
"735","agouti",-15,1.92,2309.12,0.261799387799149
"736","agouti",-16,1.58,2309.12,0.279252680319093
"737","agouti",-16,2.41,2309.12,0.279252680319093
"738","agouti",-17,1.13,2309.12,0.296705972839036
