"","X","species","speed","category","size","Body_mass_g"
"254",254,"Fox",0.0690595680858656,"LF","large",4820.36
"255",255,"Hedgehog",0.059455622157934,"SS","small",777.95
"256",256,"Hedgehog",0.113770869435068,"SS","small",777.95
"257",257,"Hedgehog",0.278821317503975,"SS","small",777.95
"258",258,"Hedgehog",0.069504888618792,"SS","small",777.95
"259",259,"Hedgehog",0.0522309281038538,"SS","small",777.95
"260",260,"Fox",0.66363428229155,"LF","large",4820.36
"261",261,"Hedgehog",0.061854981622627,"SS","small",777.95
"262",262,"Hedgehog",0.20469073036909,"SS","small",777.95
"263",263,"Hedgehog",0.0186135256229369,"SS","small",777.95
"264",264,"Hedgehog",0.0785329082379773,"SS","small",777.95
"265",265,"Hedgehog",0.613964356283085,"SS","small",777.95
"266",266,"Fox",0.952753695742682,"LF","large",4820.36
"267",267,"Fox",1.39983347121946,"LF","large",4820.36
"268",268,"takin",0.16962147177385,"LS","large",294515.33
"269",269,"himalayan black bear",0.253157668976831,"LS","large",99714.19
